url,title,description
https://www.youtube.com/watch?v=aircAruvnKk,"But what is a neural network? | Chapter 1, Deep learning","Subscribe for more (part 2 will be on backpropagation): http://3b1b.co/neural-networks-sub"
https://www.youtube.com/watch?v=IHZwWFHWa-w,"Gradient descent, how neural networks learn | Chapter 2, Deep learning","How do neural networks learn? In this video I continue the neural network series by talking about gradient descent."
https://www.youtube.com/watch?v=Ilg3gGewQ5U,"What is backpropagation really doing? | Chapter 3, Deep learning","The third video in the neural network series covers backpropagation."
https://www.youtube.com/watch?v=tIeHLnjs5U8,"Backpropagation calculus | Chapter 4, Deep learning","The fourth video in the neural network series covers the calculus behind backpropagation."
https://www.youtube.com/watch?v=rfscVS0vtbw,"Machine Learning Explained","A simple introduction to machine learning and its applications."
https://www.youtube.com/watch?v=ukzFI9rgwfU,"Python Machine Learning Tutorial","Learn machine learning with Python in this comprehensive tutorial."
https://www.youtube.com/watch?v=7eh4d6sabA0,"TensorFlow 2.0 Complete Course","Complete course on TensorFlow 2.0 for beginners and advanced users."
https://www.youtube.com/watch?v=VyWAvY2CF9c,"Data Science Full Course","Complete data science course covering statistics, Python, and machine learning."
https://www.youtube.com/watch?v=LHXXI4-IEns,"Artificial Intelligence Explained","Understanding AI: from basic concepts to advanced applications."
https://www.youtube.com/watch?v=kft1AJ9WVDk,"Computer Vision with OpenCV","Learn computer vision techniques using OpenCV and Python."
